Date,Daily Average,Record High Daily Average,Year1,Record Low Daily Average,Year2,Average High,Lowest High,Year3,Record High,Year4,Average Low,Highest Low,Year5,Record Low,Year6,Years
18-May,82.2,86.5,2024,77.9,2014,83.4,78.8,2014,87.8,2024,81.2,85.5,2024,75.9,2014,25
19-May,82.3,87.3,2024,78.2,2014,83.5,79.2,2014,88.7,2024,81.3,86.4,2024,77.0,2014,25
20-May,82.5,87.3,2024,78.1,2014,83.7,79.3,2014,88.0,2024,81.4,86.4,2024,76.8,2014,24
21-May,82.6,86.7,2024,78.6,2014,83.8,80.2,2014,87.6,2024,81.5,85.8,2024,77.4,2014,24
22-May,82.7,86.7,2024,79.3,2014,83.9,81.1,2002,88.2,2024,81.7,85.5,2024,77.9,2014,24
23-May,82.8,86.4,2024,79.6,2002,84.0,80.8,2002,87.6,2024,81.8,85.1,2023,78.3,2002,24
24-May,82.9,86.5,2024,79.5,2002,84.1,81.3,2002,87.8,2024,81.9,85.3,2024,77.9,2002,25
25-May,83.0,87.0,2024,79.1,2002,84.2,80.1,2002,88.0,2024,82.0,86.0,2024,77.9,2002,24
26-May,83.2,87.3,2024,78.7,2002,84.3,80.4,2002,88.3,2024,82.1,86.4,2024,77.5,2002,25
27-May,83.3,87.9,2024,79.4,2002,84.5,81.7,2013,88.9,2024,82.2,87.1,2024,78.3,2002,25
28-May,83.4,88.0,2024,79.7,2002,84.6,80.4,2002,88.5,2024,82.4,87.4,2024,78.8,2002,25
29-May,83.5,88.2,2024,79.0,2013,84.7,79.9,2013,89.2,2024,82.5,87.3,2024,77.7,2013,25
30-May,83.6,88.7,2024,78.3,2013,84.8,79.3,2013,89.6,2024,82.6,88.0,2024,77.4,2013,25
31-May,83.7,87.6,2024,79.2,2013,84.9,80.2,2013,88.3,2024,82.7,86.9,2024,78.3,2013,26
01-Jun,83.8,87.0,2017,80.3,2013,85.0,81.5,2013,88.2,2020,82.8,86.2,2017,79.3,2013,25
02-Jun,83.9,86.2,2017,80.5,1996,85.1,81.9,1996,87.3,2017,82.9,85.6,2017,78.1,1996,24
03-Jun,84.0,86.1,2004,80.3,1996,85.2,81.1,2014,87.4,2004,83.0,85.1,2021,79.2,1996,24
04-Jun,84.1,86.3,2004,80.0,2014,85.3,80.4,2014,87.4,2021,83.1,84.9,2004,79.7,2014,24
05-Jun,84.2,86.7,1998,80.5,2014,85.4,82.0,2013,88.5,2021,83.2,85.6,1998,79.3,2014,24
06-Jun,84.3,87.7,2010,81.7,2013,85.5,82.9,2013,89.1,2021,83.3,86.9,2010,80.8,2014,24
07-Jun,84.4,88.3,1998,81.9,2017,85.6,83.1,2017,89.2,1998,83.4,87.4,1998,81.1,2013,24
08-Jun,84.5,88.6,1998,81.4,1999,85.6,82.0,1999,89.2,1998,83.5,87.8,1998,80.8,2017,25
09-Jun,84.6,87.4,2024,81.7,2017,85.7,82.2,2017,88.9,2021,83.6,86.7,2024,80.2,1997,25
10-Jun,84.7,87.7,2024,80.9,1997,85.8,81.7,1997,88.7,2021,83.7,86.9,2024,80.2,1997,24
11-Jun,84.8,88.0,2020,81.5,1997,85.9,82.6,2005,89.1,2020,83.8,87.4,2020,80.6,1997,23
12-Jun,84.9,87.8,2021,82.1,1997,86.0,82.4,1997,89.1,2010,83.9,87.1,2021,81.0,2000,24
13-Jun,84.9,88.1,2021,82.1,2002,86.1,82.6,2002,89.6,2010,84.0,87.3,2021,81.1,1997,25
14-Jun,85.0,88.5,2010,81.5,2002,86.2,82.2,2002,90.3,2010,84.1,87.1,2010,81.0,2002,25
15-Jun,85.1,88.9,2010,80.9,2002,86.3,81.7,2002,90.3,2010,84.2,87.8,2010,80.2,2002,25
16-Jun,85.2,89.6,2010,80.9,2002,86.3,82.4,2002,90.9,2010,84.2,88.3,2010,79.5,2002,24
17-Jun,85.3,90.4,2010,82.0,2002,86.4,83.3,2002,91.4,2010,84.3,89.6,2010,81.1,2002,24
18-Jun,85.4,90.0,2010,82.7,2012,86.5,83.7,1995,90.5,2010,84.4,89.2,2010,81.1,2012,23
19-Jun,85.4,89.5,2010,81.9,2012,86.6,82.9,2012,90.9,2010,84.5,88.5,1998,81.0,2012,25
20-Jun,85.5,89.8,1998,80.9,2012,86.7,81.5,2012,90.9,1998,84.6,88.9,2010,80.2,2012,25
21-Jun,85.6,90.1,1998,80.8,2012,86.7,81.7,2012,90.9,1998,84.6,89.2,1998,80.1,2012,26
22-Jun,85.7,90.1,1998,80.1,1995,86.8,81.1,1995,90.9,1998,84.7,89.4,1998,79.2,1995,25
23-Jun,85.7,89.5,1998,80.6,1995,86.9,81.1,2012,90.7,2021,84.8,88.7,1998,80.1,1995,24
24-Jun,85.8,89.1,2020,80.9,2012,87.0,81.3,2012,90.7,2020,84.9,88.3,1998,80.4,2012,25
25-Jun,85.9,89.9,2020,81.4,2012,87.0,82.2,2012,91.2,2020,84.9,89.2,2020,80.8,2012,23
26-Jun,86.0,90.1,2020,81.8,2012,87.1,82.4,2002,91.2,2020,85.0,89.4,2020,81.0,2012,22
